Serie;id;Nombre;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Municipios;0758;Loeches;931,44;966,46;985,64;1.012,26;1.011,16;1.040,74;1.081,08;1.110,40;1.146,90;1.230,52;1.239,63;1.287,82;
Municipios;0761;Lozoya;806,14;816,32;816,93;829,03;855,75;912,49;955,93;981,20;993,70;1.094,55;1.120,41;1.261,66;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;872,96;905,04;948,88;967,26;981,67;997,15;1.030,31;1.027,60;1.064,30;1.177,46;1.178,86;1.223,12;
Municipios;0783;Madarcos;767,23;797,86;862,27;870,69;853,98;892,28;906,50;931,20;902,00;971,02;971,02;997,01;
Municipios;0800;Majadahonda;1.371,48;1.413,75;1.464,85;1.487,71;1.506,46;1.555,99;1.602,46;1.632,60;1.660,30;1.737,61;1.744,47;1.822,96;
Municipios;0822;Manzanares el Real;1.021,02;1.053,59;1.078,81;1.106,71;1.106,20;1.146,24;1.174,14;1.205,60;1.238,30;1.317,94;1.327,72;1.402,06;
Municipios;0838;Meco;997,47;1.014,44;1.054,84;1.069,10;1.088,23;1.123,54;1.164,81;1.189,90;1.217,50;1.304,75;1.317,37;1.387,37;
Municipios;0843;Mejorada del Campo;979,68;1.011,16;1.054,54;1.072,64;1.096,83;1.134,55;1.169,45;1.192,80;1.214,90;1.271,07;1.272,71;1.331,18;
Municipios;0856;Miraflores de la Sierra;889,27;923,12;977,51;993,54;1.012,07;1.045,61;1.097,97;1.124,00;1.157,60;1.204,97;1.204,38;1.287,49;
Municipios;0869;Molar (El);887,78;919,39;949,53;961,41;987,03;1.007,21;1.047,68;1.075,80;1.103,70;1.189,86;1.195,70;1.266,95;
Municipios;0875;Molinos (Los);976,08;992,41;1.035,45;1.080,24;1.099,22;1.138,62;1.177,52;1.200,30;1.218,40;1.307,82;1.315,43;1.392,01;
Municipios;0881;Montejo de la Sierra;812,04;825,49;796,98;810,73;830,28;868,05;896,63;933,90;919,30;828,09;897,52;994,73;
Municipios;0894;Moraleja de Enmedio;841,30;880,72;939,31;969,76;986,49;1.023,45;1.054,65;1.075,10;1.103,10;1.178,19;1.183,41;1.252,47;
Municipios;0908;Moralzarzal;1.072,02;1.101,72;1.138,83;1.163,51;1.180,34;1.207,39;1.263,75;1.306,60;1.340,90;1.394,10;1.419,48;1.491,91;
Municipios;0915;Morata de Tajuña;911,90;942,07;973,66;983,88;1.002,64;1.041,98;1.065,97;1.089,80;1.108,80;1.183,84;1.187,44;1.241,66;
Municipios;0920;Móstoles;1.028,94;1.061,96;1.105,38;1.122,46;1.139,14;1.175,70;1.211,28;1.231,90;1.251,20;1.316,63;1.317,37;1.374,80;
Municipios;0936;Navacerrada;985,97;1.021,92;1.099,82;1.113,24;1.131,48;1.160,62;1.208,50;1.235,40;1.241,80;1.324,13;1.363,14;1.418,50;
Municipios;0941;Navalafuente;942,65;963,39;1.034,60;1.069,56;1.064,89;1.097,54;1.103,01;1.129,80;1.111,40;1.132,03;1.152,15;1.224,80;
Municipios;0954;Navalagamella;920,87;944,22;949,63;975,16;1.003,46;1.017,97;1.076,69;1.091,10;1.118,30;1.217,15;1.211,86;1.262,41;
Municipios;0967;Navalcarnero;911,07;944,78;981,69;991,64;1.014,27;1.050,57;1.088,20;1.118,40;1.140,20;1.219,96;1.228,40;1.290,87;
Municipios;0973;Navarredonda y San Mamés;707,75;711,48;718,07;711,94;731,63;786,99;738,42;798,20;934,20;894,27;992,38;1.154,76;
Municipios;0992;Navas del Rey;878,05;893,77;907,10;919,88;924,46;972,79;1.024,30;1.035,40;1.052,60;1.093,50;1.104,79;1.179,59;
